,ticker,quantity,position,avg_cost,auction_close,auction_date,diff_w_close_price
0,ADD,3846,5400.0,1.475035,1.53,2025-01-30,-0.035924836601307145
1,ADGM,9571,8000.0,1.215035,1.0,2025-01-30,0.2150350000000001
2,ALUR,1176,,,,,
3,ARQQ,365,,,,,
4,EVTL,1805,3825.0,5.045035,4.95,2025-01-30,0.019198989898989938
5,FTAI,108,972.0,100.1994177,103.35,2025-01-30,-0.030484589259796774
6,GALT,8224,11000.0,1.28507185,1.25,2025-01-30,0.028057480000000013
7,GOEV,6896,,,,,
8,GTI,8738,1600.0,0.3202555,0.3147,2025-01-30,0.01765332062281553
9,MBOT,4903,19800.0,1.805035,1.85,2025-01-30,-0.024305405405405482
10,MULN,8712,40500.0,0.2859735,0.2631,2025-01-30,0.0869384264538198
11,SMX,1013,1013.0,4.15503505,4.49,2025-01-30,-0.07460243875278393
12,TPIC,5291,19473.0,1.63539445,1.63,2025-01-30,0.0033094785276073934
13,UAVS,2857,1800.0,2.45515445,2.41,2025-01-30,0.01873628630705397
14,XCH,4167,5500.0,1.025035,1.05,2025-01-30,-0.023776190476190597
15,ZCAR,4592,8428.0,1.305035,1.37,2025-01-30,-0.04741970802919719
